0,80.0,0.1,0.01,0.1,-80.0,-1.0
1,80.0,0.1,0.01,0.1,-80.0,-0.802
2,80.0,0.1,0.01,0.1,-80.0,-0.604
3,80.0,0.1,0.01,0.1,-80.0,-0.4059999999999999
4,80.0,0.1,0.01,0.1,-80.0,-0.20799999999999996
5,80.0,0.1,0.01,0.1,-80.0,-0.01
6,80.0,0.1,0.01,0.1,-66.0,-1.0
7,80.0,0.1,0.01,0.1,-66.0,-0.802
8,80.0,0.1,0.01,0.1,-66.0,-0.604
9,80.0,0.1,0.01,0.1,-66.0,-0.4059999999999999
10,80.0,0.1,0.01,0.1,-66.0,-0.20799999999999996
11,80.0,0.1,0.01,0.1,-66.0,-0.01
12,80.0,0.1,0.01,0.1,-52.0,-1.0
13,80.0,0.1,0.01,0.1,-52.0,-0.802
14,80.0,0.1,0.01,0.1,-52.0,-0.604
15,80.0,0.1,0.01,0.1,-52.0,-0.4059999999999999
16,80.0,0.1,0.01,0.1,-52.0,-0.20799999999999996
17,80.0,0.1,0.01,0.1,-52.0,-0.01
18,80.0,0.1,0.01,0.1,-38.0,-1.0
19,80.0,0.1,0.01,0.1,-38.0,-0.802
20,80.0,0.1,0.01,0.1,-38.0,-0.604
21,80.0,0.1,0.01,0.1,-38.0,-0.4059999999999999
22,80.0,0.1,0.01,0.1,-38.0,-0.20799999999999996
23,80.0,0.1,0.01,0.1,-38.0,-0.01
24,80.0,0.1,0.01,0.1,-24.0,-1.0
25,80.0,0.1,0.01,0.1,-24.0,-0.802
26,80.0,0.1,0.01,0.1,-24.0,-0.604
27,80.0,0.1,0.01,0.1,-24.0,-0.4059999999999999
28,80.0,0.1,0.01,0.1,-24.0,-0.20799999999999996
29,80.0,0.1,0.01,0.1,-24.0,-0.01
30,80.0,0.1,0.01,0.1,-10.0,-1.0
31,80.0,0.1,0.01,0.1,-10.0,-0.802
32,80.0,0.1,0.01,0.1,-10.0,-0.604
33,80.0,0.1,0.01,0.1,-10.0,-0.4059999999999999
34,80.0,0.1,0.01,0.1,-10.0,-0.20799999999999996
35,80.0,0.1,0.01,0.1,-10.0,-0.01
36,80.0,0.1,0.01,0.28,-80.0,-1.0
37,80.0,0.1,0.01,0.28,-80.0,-0.802
38,80.0,0.1,0.01,0.28,-80.0,-0.604
39,80.0,0.1,0.01,0.28,-80.0,-0.4059999999999999
40,80.0,0.1,0.01,0.28,-80.0,-0.20799999999999996
41,80.0,0.1,0.01,0.28,-80.0,-0.01
42,80.0,0.1,0.01,0.28,-66.0,-1.0
